No_of_Rooms,Unit_Type,Property_Category,Locality,Price_INR,Area_sqft,Furnishing_Status,Has_Pool,Has_Gym,Has_Parking,Has_Lift,Close_to_Hospital,Power_Backup,Kids_Play_Area,Price_per_sqft
4.0,BHK,Independent,Mokila,150000,5000,areaSemi furnished,No,No,Yes,No,No,Yes,Yes,30.0
2.0,BHK,Independent,Puppalaguda,25000,1200,areaSemi furnished,No,No,No,No,No,No,No,20.833333333333332
3.0,BHK,Independent,Madhapur,45000,2400,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,18.75
3.0,BHK,Independent,Banjara Hills,75000,3200,areaFully furnished,No,No,Yes,No,No,Yes,No,23.4375
4.0,BHK,Independent,Rai Durg,90000,3850,areaFully furnished,No,No,Yes,No,No,Yes,No,23.376623376623378
2.0,BHK,Independent,Banjara Hills,20000,2400,areaUn-furnished,No,No,No,No,No,No,No,8.333333333333334
2.0,BHK,Independent,Amberpet,22000,1800,areaSemi furnished,No,No,No,No,No,No,No,12.222222222222221
1.0,RK,Independent,Serilingampally,16000,621,areaSemi furnished,No,No,No,No,No,No,No,25.764895330112722
5.0,BHK,Independent,Jubilee Hills,600000,10000,areaFully furnished,No,No,Yes,Yes,No,Yes,No,60.0
2.0,BHK,Independent,Narayanguda,26000,1050,areaSemi furnished,No,No,No,No,No,No,No,24.761904761904763
2.0,BHK,Independent,Nacharam,12000,1050,areaSemi furnished,No,No,Yes,No,No,No,No,11.428571428571429
3.0,BHK,Independent,Habsiguda,65000,2500,areaFully furnished,No,No,Yes,No,No,No,No,26.0
3.0,BHK,Independent,Jubilee Hills,150000,3600,areaSemi furnished,No,No,Yes,Yes,No,No,No,41.666666666666664
2.0,BHK,Independent,Kothapet,16000,1100,areaSemi furnished,No,No,Yes,No,No,No,No,14.545454545454545
4.0,BHK,Independent,Jubilee Hills,700000,10000,areaSemi furnished,No,No,No,No,No,Yes,No,70.0
6.0,BHK,Independent,Jubilee Hills,500000,10000,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,50.0
1.0,BHK,Independent,Kukatpally,17800,660,areaSemi furnished,No,No,Yes,No,No,No,No,26.96969696969697
1.0,RK,Independent,Financial District,9000,350,areaUn-furnished,No,No,Yes,Yes,No,No,No,25.714285714285715
1.0,BHK,Independent,Kachiguda,11000,510,areaUn-furnished,No,No,No,No,Yes,No,No,21.568627450980394
3.0,BHK,Independent,Jubilee Hills,45000,1600,areaFully furnished,No,No,Yes,Yes,No,No,No,28.125
5.0,BHK,Independent,Jubilee Hills,250000,6500,areaSemi furnished,No,No,Yes,No,No,No,No,38.46153846153846
2.0,BHK,Independent,Peeramcheru,20000,1100,areaSemi furnished,No,No,No,No,Yes,No,No,18.181818181818183
1.0,RK,Independent,Kukatpally,19000,350,areaFully furnished,No,No,No,No,No,No,No,54.285714285714285
1.0,BHK,Flat,Madhapur,31000,850,areaFully furnished,No,No,Yes,Yes,No,Yes,No,36.470588235294116
1.0,BHK,Flat,Madhapur,30000,700,areaFully furnished,No,No,No,Yes,No,Yes,No,42.857142857142854
